"행정구역별","산업별",2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"충남","공공행정, 국방 및 사회보장 행정(84)",768,769,747,763,758,764,756,767,769,762,747
"충남","교육 서비스업(85)",6127,6286,6101,6192,6317,6434,6540,6685,6871,7065,7044
"충남","보건업 및 사회복지 서비스업(86~87)",4526,4896,5126,5394,5763,5661,6086,6356,6408,6525,6419
"충남","예술, 스포츠 및 여가관련 서비스업(90~91)",3750,3903,3831,3893,4041,4064,4402,4894,5114,5243,5253
"충남","협회 및 단체, 수리 및 기타 개인 서비스업(94~96)",16111,16522,16578,16747,17030,17208,17372,17991,18639,19136,19620
"전북","전체 산업",124703,128738,135997,139654,144900,146652,147502,148269,151011,154082,156779
"전북","농업, 임업 및 어업(01~03)",223,226,253,268,346,360,400,432,488,489,665
"전북","광업(05~08)",83,88,96,102,118,112,109,108,108,106,95
"전북","제조업(10~34)",10065,10362,10774,11218,12303,12661,12588,12709,12933,13288,13423
"전북","전기, 가스, 증기 및 공기조절 공급업(35)",80,79,91,88,102,121,120,131,164,200,600
"전북","수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",310,335,367,393,429,423,429,424,447,472,475
"전북","건설업(41~42)",3914,4315,4626,4896,5249,5485,5675,5627,5864,6077,6698
